,COD_PRO,COD_SEL,Piles,Columns,Tensioners,Wire_rolls,Isolation,Carbonate,APP_Area,RL_Area,Total_Area,Requires_Carbonate_RL,Requires_Isolation_RL,Group_RL,CultureI_RL,CultureII_RL,Seedlings_RL,Method_RL,Year_RL,Requires_Carbonate_APP,Requires_Isolation_APP,Group_APP,CultureI_APP,CultureII_APP,Seedlings_APP,Method_APP,Year_APP,Year_Selection,Year_Implementation,Concluded_Isolation,Project_Status,Requires_Isolation,Requires_Carbonate
988,PRO0958,SEL0989,96,4,5,3,,600.0,0.0,0.85,2.44,0.0,0.0,1,A,,1111,RL SAF,2019.0,0.0,0.0,,,,,,2019.0,2019.0,2019.0,0,CONCLUIDO,1.0,0.0
989,PRO0959,SEL0990,135,10,45,4,CONCLUIDO,1.05,0.0,0.0,3.04,0.0,0.0,1,B,,,RL SAF,2019.0,0.0,0.0,1,B,,1900.0,APP SAF,2019.0,2019.0,2019.0,1,CONCLUIDO,1.0,0.0
990,PRO0959,SEL0991,0,0,0,0,,0.0,0.0,0.0,0.85,1.0,0.0,5,H,,106,RL SAF,2020.0,0.0,0.0,,,,,-,2020.0,2020.0,2020.0,0,ATIVO,0.0,0.0
993,PRO0962,SEL0994,40,4,5,1,PARCIAL,2.0,0.76,0.0,0.76,0.0,0.0,2,A,B,,RL SAF,2019.0,0.0,0.0,2,A,B,1500.0,APP SAF,2019.0,2019.0,2019.0,0,CONCLUIDO,1.0,0.0
994,PRO0963,SEL0995,0,0,0,0,,3.0,0.0,1.1,1.1,0.0,0.0,3,E,C,1800,RL SAF,2019.0,0.0,0.0,3,C,CAFÉ,,APP SAF,2019.0,2019.0,2019.0,0,CONCLUIDO,0.0,0.0
995,PRO0964,SEL0996,0,0,0,0,,0.5,0.0,0.24,0.76,0.0,0.0,3,E,A,520,RL SAF,2019.0,0.0,0.0,3,A,CAFÉ,,APP SAF,2019.0,2019.0,2019.0,0,CONCLUIDO,0.0,0.0
996,PRO0965,SEL0997,50,3,20,1,CONCLUIDO,2.0,0.0,0.97,1.1,0.0,0.0,1,B,,1100,RL SAF,2019.0,0.0,0.0,1,B,,,APP SAF,2019.0,2019.0,2019.0,1,CONCLUIDO,1.0,0.0
997,PRO0966,SEL0998,0,0,0,0,,4.0,0.0,2.96,2.96,0.0,0.0,3,B,,2300,RL SAF,2019.0,0.0,0.0,1,B,,,APP SAF,2019.0,2019.0,2019.0,0,CONCLUIDO,0.0,0.0
998,PRO0967,SEL0999,0,0,0,0,,1.0,0.0,0.0,0.97,0.0,0.0,3,CAFÉ,,580,RL SAF,2019.0,0.0,0.0,3,,CAFÉ,,APP SAF,2019.0,2019.0,2019.0,0,CONCLUIDO,0.0,0.0
999,PRO0968,SEL1000,15,2,15,1,CONCLUIDO,1.0,0.0,0.49,2.96,0.0,0.0,3,E,B,900,RL SAF,2019.0,0.0,0.0,3,B,CAFÉ,,APP SAF,2019.0,2019.0,2019.0,1,CONCLUIDO,1.0,0.0
1000,PRO0969,SEL1001,61,3,20,2,CONCLUIDO,1.0,0.0,0.65,0.65,0.0,0.0,1,B,,722,RL SAF,2019.0,0.0,0.0,1,B,,,APP SAF,2019.0,2019.0,2019.0,1,CONCLUIDO,1.0,0.0
1001,PRO0970,SEL1002,85,0,0,2,CONCLUIDO,4.0,0.0,2.61,2.61,0.0,0.0,2,B,C,2230,RL SAF,2019.0,0.0,0.0,2,B,C,,APP SAF,2019.0,2019.0,2019.0,1,CONCLUIDO,1.0,0.0
1002,PRO0971,SEL1003,0,0,0,0,,2.0,0.0,0.91,0.91,0.0,0.0,1,B,,1070,RL SAF,2019.0,0.0,0.0,1,B,,,APP SAF,2019.0,2019.0,2019.0,0,CONCLUIDO,0.0,0.0
1003,PRO0972,SEL1004,35,2,5,1,CONCLUIDO,2.0,0.0,0.87,2.61,0.0,0.0,3,E,B,1050,RL SAF,2019.0,0.0,0.0,3,B,CAFÉ,,APP SAF,2019.0,2019.0,2019.0,1,CONCLUIDO,1.0,0.0
1004,PRO0973,SEL1005,18,2,5,1,CONCLUIDO,2.0,0.0,0.57,0.91,0.0,0.0,3,E,B,720,RL SAF,2019.0,0.0,0.0,3,B,CAFÉ,,APP SAF,2019.0,2019.0,2019.0,1,CONCLUIDO,1.0,0.0
1005,PRO0974,SEL1006,98,6,20,3,CONCLUIDO,0.2,0.57,0.0,0.87,0.0,0.0,,,,,,2019.0,0.0,0.0,1,B,,355.0,APP SAF,2019.0,2019.0,2019.0,1,ATIVO,1.0,0.0
1006,PRO0975,SEL1007,188,10,30,5,,0.35,0.0,0.0,0.57,0.0,0.0,,,,,,2019.0,0.0,0.0,1,A,,755.0,APP SAF,2019.0,2019.0,2019.0,0,ATIVO,1.0,0.0
1007,PRO0976,SEL1008,50,5,10,2,CONCLUIDO,0.55,3.1,0.0,3.1,0.0,0.0,,0,,0,,2019.0,0.0,0.0,5,H,,0.0,APP DIV,2019.0,2019.0,2019.0,1,CONCLUIDO,1.0,0.0
1009,PRO0977,SEL1010,22,3,10,1,CONCLUIDO,0.16,0.27,0.0,3.1,0.0,0.0,,0,,0,,2019.0,0.0,0.0,5,H,,0.0,APP DIV,2019.0,2019.0,2019.0,1,CONCLUIDO,1.0,0.0
1010,PRO0978,SEL1011,49,3,15,1,CONCLUIDO,0.16,0.8,0.0,0.8,0.0,0.0,,0,,0,,2019.0,0.0,0.0,1,A,,0.0,APP SAF,2019.0,2019.0,2019.0,1,CONCLUIDO,1.0,0.0
1011,PRO0979,SEL1012,23,2,10,1,CONCLUIDO,0.0,0.14,0.0,0.27,0.0,0.0,,0,,0,,2019.0,0.0,0.0,5,H,,0.0,APP DIV,2019.0,2019.0,2019.0,1,CONCLUIDO,1.0,0.0
1012,PRO0979,SEL1013,36,3,10,1,,0.25,0.0,0.0,0.8,0.0,0.0,0,-,-,0,,2020.0,1.0,1.0,5,H,-,500.0,APP DIV,2020.0,2020.0,2020.0,0,ATIVO,1.0,1.0
1013,PRO0980,SEL1014,200,13,50,6,,1272.0,1.15,0.0,1.15,0.0,0.0,,,,,,2019.0,0.0,0.0,5,H,,2300.0,APP DIV,2019.0,2019.0,2019.0,0,CONCLUIDO,1.0,0.0
1014,PRO0981,SEL1015,138,10,45,3,,249.0,1.8,0.0,1.8,0.0,0.0,,,,,,2019.0,0.0,0.0,1,A,,450.0,APP SAF,2019.0,2019.0,2019.0,0,CONCLUIDO,1.0,0.0
1015,PRO0982,SEL1016,44,2,10,1,,1291.0,0.0,2.29,2.29,0.0,0.0,1,B,,2334,RL SAF,2019.0,0.0,0.0,,,,,,2019.0,2019.0,2019.0,0,CONCLUIDO,1.0,0.0
1016,PRO0982,SEL1017,0,0,0,0,,2.0,0.0,0.0,1.8,0.0,0.0,-,-,-,0,,2020.0,1.0,1.0,5,H,-,3233.0,APP DIV,2020.0,2020.0,2020.0,0,ATIVO,1.0,1.0
1017,PRO0983,SEL1018,57,8,20,2,,608.0,0.56,0.0,2.29,0.0,0.0,,,,,,2019.0,0.0,0.0,2,A,B,1100.0,APP SAF,2019.0,2019.0,2019.0,0,CONCLUIDO,1.0,0.0
1018,PRO0984,SEL1019,122,9,40,4,,2286.0,5.0,0.0,5.0,0.0,0.0,,,,,,2019.0,0.0,0.0,2,A,B,4133.0,APP SAF,2019.0,2019.0,2019.0,0,CONCLUIDO,1.0,0.0
1019,PRO0985,SEL1020,93,5,40,3,,258.0,0.64,0.0,0.64,0.0,0.0,,,,,,2019.0,0.0,0.0,5,H,,466.0,APP DIV,2019.0,2019.0,2019.0,0,CONCLUIDO,1.0,0.0
1020,PRO0986,SEL1021,0,0,0,0,,1549.0,0.0,2.37,5.0,0.0,0.0,1,B,,2800,RL SAF,2019.0,0.0,0.0,,,,,,2019.0,2019.0,2019.0,0,CONCLUIDO,0.0,0.0
1021,PRO0987,SEL1022,83,4,10,2,CONCLUIDO,0.2,0.7,0.0,0.7,0.0,0.0,,,,,,2019.0,0.0,0.0,2,A,D,,APP SAF,2019.0,2019.0,2019.0,1,CONCLUIDO,1.0,0.0
1022,PRO0988,SEL1023,30,2,0,1,CONCLUIDO,0.05,0.17,0.0,2.37,0.0,0.0,,,,,,2019.0,0.0,0.0,1,A,,,APP SAF,2019.0,2019.0,2019.0,1,ATIVO,1.0,0.0
1023,PRO0989,SEL1024,153,8,10,4,CONCLUIDO,0.1,1.02,0.0,1.02,0.0,0.0,,,,,,2019.0,0.0,0.0,2,A,D,,APP SAF,2019.0,2019.0,2019.0,1,ATIVO,1.0,0.0
1024,PRO0990,SEL1025,0,0,0,0,CONCLUIDO,0.0,0.13,0.0,0.17,0.0,0.0,,,,,,2019.0,0.0,0.0,1,A,,,APP SAF,2019.0,2019.0,2019.0,1,ATIVO,0.0,0.0
1025,PRO0991,SEL1026,0,0,0,0,,0.0,0.0,0.0,1.02,0.0,0.0,,,,,,2019.0,0.0,0.0,2,A,B,,APP SAF,2019.0,2019.0,2019.0,0,DESISTENTE,0.0,0.0
1026,PRO0992,SEL1027,146,8,0,4,CONCLUIDO,0.2,1.19,0.0,1.19,0.0,0.0,,,,,,2019.0,0.0,0.0,1,A,,,APP SAF,2019.0,2019.0,2019.0,1,CONCLUIDO,1.0,0.0
1028,PRO0993,SEL1029,148,8,0,4,CONCLUIDO,0.25,0.98,0.0,1.19,0.0,0.0,,,,,,2019.0,0.0,0.0,5,H,,,APP DIV,2019.0,2019.0,2019.0,1,CONCLUIDO,1.0,0.0
1029,PRO0994,SEL1030,81,5,0,2,CONCLUIDO,0.2,0.53,0.0,0.53,0.0,0.0,,,,,,2019.0,0.0,0.0,1,A,,,APP SAF,2019.0,2019.0,2019.0,1,CONCLUIDO,1.0,0.0
1030,PRO0995,SEL1031,239,12,0,6,CONCLUIDO,0.15,2.08,0.0,2.08,0.0,0.0,,,,,,2019.0,0.0,0.0,2,A,B,,APP SAF,2019.0,2019.0,2019.0,1,CONCLUIDO,1.0,0.0
1031,PRO0996,SEL1032,34,2,0,1,CONCLUIDO,0.2,0.3,0.0,0.53,0.0,0.0,,,,,,2019.0,0.0,0.0,1,B,,,APP SAF,2019.0,2019.0,2019.0,1,CONCLUIDO,1.0,0.0
1032,PRO0997,SEL1033,36,4,0,1,CONCLUIDO,0.05,0.22,0.0,2.08,0.0,0.0,,,,,,2019.0,0.0,0.0,1,A,,,APP SAF,2019.0,2019.0,2019.0,1,CONCLUIDO,1.0,0.0
1033,PRO0998,SEL1034,32,2,0,1,CONCLUIDO,0.1,0.27,0.0,0.3,0.0,0.0,,,,,,2019.0,0.0,0.0,1,A,,,APP SAF,2019.0,2019.0,2019.0,1,CONCLUIDO,1.0,0.0
1034,PRO0999,SEL1035,0,0,0,0,,0.0,0.0,0.0,0.22,0.0,0.0,-,-,-,0,-,2020.0,0.0,1.0,5,H,-,200.0,APP DIV,2020.0,2020.0,2020.0,0,ATIVO,0.0,0.0
1035,PRO1000,SEL1036,134,6,0,5,CONCLUIDO,0.7,1.44,0.0,1.44,0.0,0.0,,,,,,2019.0,0.0,0.0,2,A,D,,APP SAF,2019.0,2019.0,2019.0,1,CONCLUIDO,1.0,0.0
1036,PRO1001,SEL1037,102,6,50,4,PARCIAL,0.05,1.0,0.0,1.0,0.0,0.0,,,,,,2019.0,0.0,0.0,5,H,,,APP DIV,2019.0,2019.0,2019.0,0,CONCLUIDO,1.0,0.0
1037,PRO1002,SEL1038,40,3,15,1,CONCLUIDO,1.0,0.0,0.44,1.44,0.0,0.0,3,E,B,425,RL SAF,2019.0,0.0,0.0,3,B,CAFÉ,,APP SAF,2019.0,2019.0,2019.0,1,CONCLUIDO,1.0,0.0
1038,PRO1003,SEL1039,36,2,10,1,CONCLUIDO,0.15,0.1,0.0,1.0,0.0,0.0,,,,,,2019.0,0.0,0.0,5,H,,320.0,APP DIV,2019.0,2019.0,2019.0,1,ATIVO,1.0,0.0
1039,PRO1004,SEL1040,19,3,10,1,CONCLUIDO,0.2,0.47,0.0,0.47,0.0,0.0,,,,,,2019.0,0.0,0.0,5,H,,160.0,APP SAF,2019.0,2019.0,2019.0,1,ATIVO,1.0,0.0
1040,PRO1005,SEL1041,15,4,15,1,CONCLUIDO,0.368,0.0,1.27,1.27,1.0,1.0,2,A,B,657,RL SAF,2019.0,0.0,0.0,-,-,,0.0,,2019.0,2019.0,2019.0,1,CONCLUIDO,1.0,1.0
1041,PRO1006,SEL1042,0,0,0,0,,1.81,0.45,2.53,2.98,0.0,0.0,3,CAFÉ,,2833,RL SAF,2019.0,0.0,0.0,1,A,,455.0,APP SAF,2019.0,2019.0,2019.0,0,CONCLUIDO,0.0,0.0
1042,PRO1007,SEL1043,60,4,20,2,CONCLUIDO,0.719,0.47,0.59,1.27,0.0,0.0,3,E,B,1000,RL SAF,2019.0,0.0,0.0,5,H,,300.0,APP DIV,2019.0,2019.0,2019.0,1,CONCLUIDO,1.0,0.0
1043,PRO1008,SEL1044,0,0,0,0,,0.524,0.0,0.64,2.98,0.0,0.0,3,E,B,815,RL SAF,2019.0,0.0,0.0,5,H,,134.0,APP DIV,2019.0,2019.0,2019.0,0,CONCLUIDO,0.0,0.0
1044,PRO1009,SEL1045,73,4,10,2,A FAZER,0.0,0.22,0.52,1.06,0.0,0.0,5,H,,104,RL DIV,2019.0,0.0,0.0,5,H,,,APP DIV,2019.0,2019.0,2019.0,0,CONCLUIDO,1.0,0.0
1045,PRO1010,SEL1046,130,4,15,3,A FAZER,300.0,0.8,0.0,0.8,0.0,0.0,,,,,,2019.0,0.0,0.0,5,H,,533.0,APP DIV,2019.0,2019.0,2019.0,0,CONCLUIDO,1.0,0.0
1046,PRO1011,SEL1047,50,4,5,1,CONCLUIDO,250.0,1.18,0.0,1.18,0.0,0.0,5,H,,522,RL DIV,2019.0,0.0,0.0,,,,,,2019.0,2019.0,2019.0,1,CONCLUIDO,1.0,0.0
1047,PRO1012,SEL1048,271,11,0,7,CONCLUIDO,0.9,0.0,0.0,0.8,0.0,0.0,,,,,,2019.0,0.0,0.0,5,H,,1800.0,APP DIV,2019.0,2019.0,2019.0,1,ATIVO,1.0,0.0
1048,PRO1013,SEL1049,210,15,0,6,PARCIAL,2.8,0.0,0.0,1.18,0.0,0.0,2,A,B,,RL SAF,2019.0,0.0,0.0,2,A,B,3304.0,APP SAF,2019.0,2019.0,2019.0,0,ATIVO,1.0,0.0
1052,PRO1017,SEL1053,17,2,5,1,PARCIAL,0.2,0.27,0.0,0.27,0.0,0.0,5,H,,265,RL SAF,2019.0,0.0,0.0,,,,140.0,APP SAF,2019.0,2019.0,2019.0,0,CONCLUIDO,1.0,0.0
1053,PRO1018,SEL1054,0,0,0,0,,0.3,0.3,0.0,0.3,0.0,0.0,1,B,,350,RL SAF,2019.0,0.0,0.0,,,,,,2019.0,2019.0,2019.0,0,CONCLUIDO,0.0,0.0
1054,PRO1019,SEL1055,0,0,0,0,CONCLUIDO,0.4,0.0,0.99,0.99,0.0,0.0,1,B,,700,RL SAF,2019.0,0.0,0.0,,,,,,2019.0,2019.0,2019.0,1,CONCLUIDO,0.0,0.0
1055,PRO1020,SEL1056,238,18,0,6,CONCLUIDO,1.5,2.38,0.0,2.38,0.0,0.0,,,,,,2019.0,0.0,0.0,2,A,B,2950.0,APP SAF,2019.0,2019.0,2019.0,1,CONCLUIDO,1.0,0.0
1056,PRO1021,SEL1057,70,4,0,2,A FAZER,0.4,0.9,0.0,0.99,0.0,0.0,,,,,,2019.0,0.0,0.0,2,A,B,650.0,APP SAF,2019.0,2019.0,2019.0,0,CONCLUIDO,1.0,0.0
1057,PRO1022,SEL1058,2,22,5,1,,0.55,0.86,0.0,2.38,0.0,0.0,1,B,,1022,RL SAF,2019.0,0.0,0.0,,,,,,2019.0,2019.0,2019.0,0,CONCLUIDO,1.0,0.0
1058,PRO1023,SEL1059,0,0,0,0,,12.0,0.0,0.0,0.9,0.0,0.0,3,CAFÉ,,4670,RL SAF,2019.0,0.0,0.0,1,A,,,APP SAF,2019.0,2019.0,2019.0,0,DESISTENTE,0.0,0.0
1059,PRO1024,SEL1060,0,0,0,0,,0.0,0.0,0.0,0.86,0.0,0.0,,,,,,2018.0,0.0,0.0,,,,,,2018.0,2018.0,2018.0,0,ATIVO,0.0,0.0
1060,PRO1025,SEL1061,0,0,0,0,,0.277,0.0,1.41,1.41,0.0,0.0,1,B,,,RL SAF,2019.0,0.0,0.0,,,,,,2019.0,2019.0,2019.0,0,CONCLUIDO,0.0,0.0
1062,PRO1027,SEL1063,0,0,0,0,,0.0,0.0,0.0,1.41,0.0,0.0,,,,,,2019.0,0.0,0.0,,,,,,2019.0,2019.0,2019.0,0,ATIVO,0.0,0.0
1081,PRO1046,SEL1082,110,3,15,3,A FAZER,0.0,0.0,3.36,3.36,0.0,0.0,3,E,B,,RL SAF,2019.0,0.0,0.0,N,N,N,0.0,N,2019.0,2019.0,2019.0,0,CONCLUIDO,1.0,0.0
1083,PRO1048,SEL1084,120,5,0,3,CONCLUIDO,1.5,0.0,4.57,4.57,0.0,0.0,1,B,,,RL SAF,2019.0,0.0,0.0,,,,,,2019.0,2019.0,2019.0,1,ATIVO,1.0,0.0
1085,PRO1050,SEL1086,0,0,0,0,,0.0,0.0,0.0,4.57,0.0,0.0,-,-,-,0,,2020.0,1.0,1.0,5,H,-,267.0,APP DIV,2020.0,2020.0,2020.0,0,ATIVO,0.0,0.0
1087,PRO1052,SEL1088,0,0,0,0,,0.0,1.39,0.0,1.39,0.0,0.0,,,,,,2019.0,0.0,0.0,2,A,C,,APP SAF,2019.0,2019.0,2019.0,0,CONCLUIDO,0.0,0.0
1089,PRO1053,SEL1090,0,0,0,0,,0.0,0.0,0.0,1.39,0.0,0.0,,,,,,2018.0,0.0,0.0,,,,,,2018.0,2018.0,2018.0,0,ATIVO,0.0,0.0
1095,PRO1059,SEL1096,45,4,10,1,CONCLUIDO,0.15,0.24,0.0,0.24,0.0,0.0,,,,,,2019.0,0.0,0.0,5,H,,400.0,APP DIV,2019.0,2019.0,2019.0,1,CONCLUIDO,1.0,0.0
1097,PRO1061,SEL1098,30,4,0,2,,0.25,0.0,0.0,0.24,0.0,0.0,,,,,,2020.0,1.0,1.0,2,A,C,500.0,APP SAF,2020.0,2020.0,2020.0,0,ATIVO,1.0,1.0
1098,PRO1062,SEL1099,60,4,5,2,CONCLUIDO,0.9,0.0,1.52,1.52,0.0,0.0,1,B,,1622,RL SAF,2019.0,0.0,0.0,,,,,,2019.0,2019.0,2019.0,1,CONCLUIDO,1.0,0.0
1099,PRO1063,SEL1100,0,0,0,0,CONCLUIDO,0.0,0.0,1.82,1.82,0.0,0.0,3,E,B,2960,RL SAF,2019.0,0.0,0.0,,,,,,2019.0,2019.0,2019.0,1,CONCLUIDO,0.0,0.0
1100,PRO1064,SEL1101,0,0,0,0,,0.0,0.0,0.0,1.52,1.0,0.0,5,H,-,111,RL SAF,2020.0,0.0,0.0,-,-,-,0.0,,2020.0,2020.0,2020.0,0,ATIVO,0.0,0.0
1101,PRO1065,SEL1102,0,0,0,0,,0.0,0.0,0.0,1.82,1.0,0.0,5,H,-,167,RL SAF,2020.0,1.0,0.0,-,-,-,0.0,-,2020.0,2020.0,2020.0,0,ATIVO,0.0,0.0
1110,PRO1073,SEL1111,0,0,0,0,,0.0,0.0,1.1,1.1,0.0,0.0,5,H,,2030,RL DIV,2019.0,0.0,0.0,,,,,,2019.0,2019.0,2019.0,0,CONCLUIDO,0.0,0.0
1111,PRO1074,SEL1112,0,0,0,0,,0.1,0.0,0.7,0.7,0.0,0.0,5,H,,,RL DIV,2019.0,0.0,0.0,5,H,,,APP DIV,2019.0,2019.0,2019.0,0,CONCLUIDO,0.0,0.0
1112,PRO1075,SEL1113,0,0,0,0,,0.0,0.0,0.0,1.1,0.0,0.0,,,,,,2019.0,0.0,0.0,,,,,,2019.0,2019.0,2019.0,0,ATIVO,0.0,0.0
1113,PRO1076,SEL1114,0,0,0,0,,0.0,0.0,0.0,0.7,0.0,0.0,,,,,,2019.0,0.0,0.0,,,,,,2019.0,2018.0,2019.0,0,CONCLUIDO,0.0,0.0
1128,PRO1091,SEL1129,37,6,15,2,CONCLUIDO,0.0,0.42,0.0,0.42,0.0,0.0,,,,,,2019.0,0.0,0.0,2,A,C,1000.0,APP SAF,2019.0,2019.0,2019.0,1,CONCLUIDO,1.0,0.0
1129,PRO1092,SEL1130,0,0,0,0,,0.0,1.06,0.0,1.06,0.0,0.0,,,,,,2019.0,0.0,0.0,5,H,,1450.0,APP DIV,2019.0,2019.0,2019.0,0,CONCLUIDO,0.0,0.0
1130,PRO1093,SEL1131,0,0,0,0,,2.5,0.0,1.21,1.21,0.0,0.0,3,E,B,1111,RL SAF,2019.0,0.0,0.0,,,,,,2019.0,2019.0,2019.0,0,CONCLUIDO,0.0,0.0
1131,PRO1094,SEL1132,0,0,0,0,,0.0,1.75,0.0,1.75,0.0,0.0,2,B,D,,RL SAF,2019.0,0.0,0.0,2,A,C,1600.0,APP SAF,2019.0,2019.0,2019.0,0,CONCLUIDO,0.0,0.0
1132,PRO1094,SEL1133,0,0,0,0,,0.5,0.0,0.0,1.21,1.0,0.0,5,H,-,1000,RL DIV,2020.0,0.0,0.0,-,-,-,0.0,-,2020.0,2020.0,2020.0,0,ATIVO,0.0,1.0
1133,PRO1095,SEL1134,0,0,0,0,,0.0,0.0,0.0,1.75,0.0,0.0,,,,,,2019.0,0.0,0.0,,,,,,2019.0,2019.0,2019.0,0,ATIVO,0.0,0.0
1137,PRO1099,SEL1138,0,0,0,0,CONCLUIDO,0.0,0.11,0.0,0.11,0.0,0.0,,,,,,2019.0,0.0,0.0,2,A,D,160.0,APP SAF,2019.0,2019.0,2019.0,1,CONCLUIDO,0.0,0.0
1138,PRO1100,SEL1139,0,0,0,0,,0.0,0.0,0.39,0.39,0.0,0.0,1,A,,655,RL SAF,2019.0,0.0,0.0,,,,,,2019.0,2019.0,2019.0,0,CONCLUIDO,0.0,0.0
1139,PRO1101,SEL1140,0,0,0,0,,0.0,0.0,1.18,1.18,0.0,0.0,3,E,D,1344,RL SAF,2019.0,0.0,0.0,,,,,,2019.0,2019.0,2019.0,0,CONCLUIDO,0.0,0.0
1140,PRO1102,SEL1141,0,0,0,0,,0.0,0.0,0.0,0.39,0.0,0.0,,,,,,2019.0,0.0,0.0,,,,,,2019.0,2019.0,2019.0,0,DESISTENTE,0.0,0.0
1141,PRO1103,SEL1142,0,0,0,0,,0.0,0.0,0.0,1.18,0.0,0.0,1,A,,1700,RL SAF,2019.0,0.0,0.0,,,,,,2019.0,2019.0,2019.0,0,DESISTENTE,0.0,0.0
1144,PRO1106,SEL1145,0,0,0,0,,0.0,0.0,0.38,0.38,0.0,0.0,1,A,,777,RL SAF,2019.0,0.0,0.0,,,,,,2019.0,2019.0,2019.0,0,CONCLUIDO,0.0,0.0
1146,PRO1107,SEL1147,0,0,0,0,,0.0,0.0,0.0,0.38,0.0,0.0,-,-,-,0,,2020.0,1.0,1.0,5,J,-,350.0,APP DIV,2020.0,2020.0,2020.0,0,ATIVO,0.0,0.0
1148,PRO1109,SEL1149,0,0,0,0,,0.0,0.11,0.0,0.11,0.0,0.0,,,,,,2019.0,0.0,0.0,1,A,,130.0,APP SAF,2019.0,2019.0,2019.0,0,CONCLUIDO,0.0,0.0
1150,PRO1110,SEL1151,0,0,0,0,,0.0,0.2,0.0,0.2,0.0,0.0,,,,,,2019.0,0.0,0.0,1,A,,330.0,APP SAF,2019.0,2018.0,2019.0,0,CONCLUIDO,0.0,0.0
1152,PRO1111,SEL1153,0,0,0,0,,0.0,0.0,1.29,1.29,0.0,0.0,1,B,,1200,RL SAF,2019.0,0.0,0.0,,,,,,2019.0,2019.0,2019.0,0,CONCLUIDO,0.0,0.0
1154,PRO1112,SEL1155,0,0,0,0,,0.0,0.0,0.0,1.29,0.0,0.0,,,,,,2020.0,0.0,0.0,5,H,,,APP DIV,2020.0,2020.0,2020.0,0,DESISTENTE,0.0,0.0
1155,PRO1113,SEL1156,0,0,0,0,,0.0,0.86,0.0,0.86,0.0,0.0,,,,,,2019.0,0.0,0.0,5,H,,900.0,APP DIV,2019.0,2019.0,2019.0,0,CONCLUIDO,0.0,0.0
1156,PRO1114,SEL1157,0,0,0,0,,0.0,0.3,0.0,0.3,0.0,0.0,,,,,,2019.0,0.0,0.0,5,H,,400.0,APP DIV,2019.0,2019.0,2019.0,0,CONCLUIDO,0.0,0.0
1157,PRO1115,SEL1158,0,0,0,0,,0.0,0.73,0.0,0.86,0.0,0.0,,,,,,2019.0,0.0,0.0,5,H,,300.0,APP DIV,2019.0,2019.0,2019.0,0,CONCLUIDO,0.0,0.0
1158,PRO1116,SEL1159,0,0,0,0,,0.0,0.86,0.0,0.86,0.0,0.0,,,,,,2019.0,0.0,0.0,1,B,,800.0,APP SAF,2019.0,2019.0,2019.0,0,CONCLUIDO,0.0,0.0
1159,PRO1116,SEL1160,0,0,0,0,,0.0,0.0,0.0,0.73,0.0,0.0,-,-,-,0,,2020.0,0.0,0.0,5,H,-,500.0,APP DIV,2020.0,2020.0,2020.0,0,ATIVO,0.0,0.0
1160,PRO1117,SEL1161,25,0,0,0,CONCLUIDO,0.0,1.1,0.0,1.1,0.0,0.0,,,,,,2019.0,0.0,0.0,5,H,,1100.0,APP DIV,2019.0,2019.0,2019.0,1,CONCLUIDO,1.0,0.0
1161,PRO1118,SEL1162,0,0,0,0,,0.0,0.52,5.3,5.82,0.0,0.0,1,B,,,RL SAF,2019.0,0.0,0.0,1,B,,855.0,APP SAF,2019.0,2019.0,2019.0,0,CONCLUIDO,0.0,0.0
1162,PRO1118,SEL1163,86,6,15,2,,0.5,0.0,0.0,1.1,0.0,0.0,0,-,-,0,,2020.0,1.0,1.0,2,B,D,1000.0,APP SAF,2020.0,2020.0,2020.0,0,ATIVO,1.0,1.0
1163,PRO1119,SEL1164,0,0,0,0,,0.0,0.0,0.79,5.82,1.0,1.0,1,B,,1665,RL SAF,2020.0,0.0,0.0,-,-,-,0.0,-,2020.0,2020.0,2020.0,0,ATIVO,0.0,0.0
1164,PRO1120,SEL1165,38,0,0,1,,0.0,1.95,0.0,1.95,0.0,0.0,,,,,,2019.0,0.0,0.0,5,H,,800.0,APP DIV,2019.0,2019.0,2019.0,0,CONCLUIDO,1.0,0.0
1165,PRO1121,SEL1166,0,0,0,0,,0.0,0.0,0.55,0.79,0.0,0.0,-,-,-,0,-,2020.0,0.0,0.0,-,-,-,0.0,-,2020.0,2020.0,2020.0,0,ATIVO,0.0,0.0
1166,PRO1122,SEL1167,0,0,0,0,,0.0,1.99,0.0,1.99,0.0,0.0,,,,,,2019.0,0.0,0.0,5,H,,2300.0,APP DIV,2019.0,2019.0,2019.0,0,CONCLUIDO,0.0,0.0
1167,PRO1123,SEL1168,0,0,0,0,,0.0,0.62,0.0,0.62,0.0,0.0,5,H,,120,RL SAF,2019.0,0.0,0.0,5,H,,755.0,APP DIV,2019.0,2019.0,2019.0,0,CONCLUIDO,0.0,0.0
1168,PRO1124,SEL1169,0,0,0,0,,0.0,9.66,0.0,9.66,0.0,0.0,1,A,,,RL SAF,2019.0,0.0,0.0,,,,,,2019.0,2019.0,2019.0,0,CONCLUIDO,0.0,0.0
1169,PRO1125,SEL1170,13,0,0,1,CONCLUIDO,0.1,0.79,0.0,0.79,0.0,0.0,,,,,,2019.0,0.0,0.0,5,H,,760.0,APP DIV,2019.0,2019.0,2019.0,1,CONCLUIDO,1.0,0.0
1170,PRO1126,SEL1171,0,0,0,0,,0.0,0.0,1.24,9.66,0.0,0.0,1,B,,,RL SAF,2019.0,0.0,0.0,,,,,,2019.0,2019.0,2019.0,0,CONCLUIDO,0.0,0.0
