,COD_PRO,COD_SEL,Piles,Columns,Tensioners,Wire_rolls,Isolation,Carbonate,APP_Area,RL_Area,Total_Area,Requires_Carbonate_RL,Requires_Isolation_RL,Group_RL,CultureI_RL,CultureII_RL,Seedlings_RL,Method_RL,Year_RL,Requires_Carbonate_APP,Requires_Isolation_APP,Group_APP,CultureI_APP,CultureII_APP,Seedlings_APP,Method_APP,Year_APP,Year_Selection,Year_Implementation,Concluded_Isolation,Project_Status,Requires_Isolation,Requires_Carbonate
909,PRO0882,SEL0910,378,16,80,10,CONCLUIDO,1.2,6.58,0.0,6.58,0.0,0.0,,,,,,2019.0,0.0,0.0,5,H,,1800.0,APP DIV,2019.0,2019.0,2019.0,1,CONCLUIDO,1.0,0.0
910,PRO0882,SEL0911,0,0,0,3,,0.75,0.0,0.0,1.3,1.0,0.0,5,H,-,1000,RL DIV,2020.0,1.0,1.0,5,H,-,500.0,APP DIV,2020.0,2020.0,2020.0,0,ATIVO,1.0,1.0
911,PRO0883,SEL0912,0,0,0,0,,1.2,1.84,0.0,6.58,0.0,0.0,1,C,,2300,RL SAF,2019.0,0.0,0.0,,,,,,2019.0,2019.0,2019.0,0,CONCLUIDO,0.0,0.0
913,PRO0885,SEL0914,20,0,0,0,CONCLUIDO,0.0,0.2,0.0,1.84,0.0,0.0,2,A,C,200,RL SAF,2019.0,0.0,0.0,,,,,,2019.0,2019.0,2019.0,1,CONCLUIDO,1.0,0.0
914,PRO0886,SEL0915,20,0,0,1,CONCLUIDO,0.1,0.24,0.0,0.24,0.0,0.0,,,,,,2019.0,0.0,0.0,2,B,D,140.0,APP SAF,2019.0,2019.0,2019.0,1,CONCLUIDO,1.0,0.0
915,PRO0887,SEL0916,78,8,20,2,CONCLUIDO,0.4,0.0,2.6,2.6,0.0,0.0,2,B,D,700,RL SAF,2019.0,0.0,0.0,,,,,,2019.0,2019.0,2019.0,1,CONCLUIDO,1.0,0.0
916,PRO0887,SEL0917,0,0,0,0,,0.0,0.0,0.0,0.24,0.0,0.0,5,H,-,400,RL DIV,2020.0,0.0,0.0,-,-,-,0.0,-,2020.0,2020.0,2020.0,0,ATIVO,0.0,0.0
917,PRO0888,SEL0918,0,0,0,0,,0.15,0.0,0.0,2.6,0.0,0.0,5,H,,,RL DIV,2019.0,0.0,0.0,,,,0.0,,2019.0,2019.0,2019.0,0,ATIVO,0.0,0.0
919,PRO0890,SEL0920,33,3,10,1,CONCLUIDO,0.35,0.51,0.0,0.51,0.0,0.0,3,E,C,650,RL SAF,2019.0,0.0,0.0,5,H,,150.0,APP DIV,2019.0,2019.0,2019.0,1,CONCLUIDO,1.0,0.0
920,PRO0891,SEL0921,105,4,15,3,CONCLUIDO,0.4,0.48,0.0,0.48,0.0,0.0,,0,,0,,2019.0,0.0,0.0,5,H,,700.0,APP DIV,2019.0,2019.0,2019.0,1,CONCLUIDO,1.0,0.0
921,PRO0892,SEL0922,38,3,10,1,CONCLUIDO,0.25,0.48,0.0,0.51,0.0,0.0,,0,,0,,2019.0,0.0,0.0,5,H,,400.0,APP DIV,2019.0,2019.0,2019.0,1,CONCLUIDO,1.0,0.0
922,PRO0893,SEL0923,90,0,10,3,CONCLUIDO,0.125,0.4,0.0,0.48,0.0,0.0,,0,,0,,2019.0,0.0,0.0,5,H,,0.0,APP DIV,2019.0,2019.0,2019.0,1,CONCLUIDO,1.0,0.0
923,PRO0894,SEL0924,40,2,10,1,CONCLUIDO,0.07,0.41,0.0,0.48,0.0,0.0,,0,,0,,2019.0,0.0,0.0,1,A,B,0.0,APP SAF,2019.0,2019.0,2019.0,1,CONCLUIDO,1.0,0.0
924,PRO0895,SEL0925,19,2,10,1,CONCLUIDO,0.08,0.1,0.0,0.4,0.0,0.0,,0,,0,,2019.0,0.0,0.0,5,H,,0.0,APP DIV,2019.0,2019.0,2019.0,1,CONCLUIDO,1.0,0.0
925,PRO0896,SEL0926,70,3,15,2,CONCLUIDO,0.28,0.77,0.0,0.77,0.0,0.0,,0,,0,,2019.0,0.0,0.0,5,H,,0.0,APP DIV,2019.0,2019.0,2019.0,1,CONCLUIDO,1.0,0.0
926,PRO0897,SEL0927,0,0,0,0,,1.0,0.0,1.66,1.66,0.0,0.0,1,B,,0,RL SAF,2019.0,0.0,0.0,,,,0.0,,2019.0,2019.0,2019.0,0,CONCLUIDO,0.0,0.0
927,PRO0898,SEL0928,18,0,5,0,,0.075,0.1,0.0,0.77,0.0,0.0,,0,,0,,2019.0,0.0,0.0,1,A,,145.0,APP SAF,2019.0,2019.0,2019.0,0,CONCLUIDO,1.0,0.0
928,PRO0899,SEL0929,0,0,0,0,,0.0,0.0,0.0,1.66,0.0,0.0,,,,,,2019.0,0.0,0.0,,,,,,2019.0,2019.0,2019.0,0,ATIVO,0.0,0.0
929,PRO0900,SEL0930,0,0,0,0,,0.0,0.0,0.0,0.1,0.0,0.0,,,,,,2019.0,0.0,0.0,,,,,,2019.0,2019.0,2019.0,0,DESISTENTE,0.0,0.0
931,PRO0902,SEL0932,60,4,0,2,CONCLUIDO,0.35,0.17,0.0,0.17,0.0,0.0,,,,,,2019.0,0.0,0.0,1,D,,672.0,APP SAF,2019.0,2019.0,2019.0,1,ATIVO,1.0,0.0
933,PRO0904,SEL0934,24,2,0,1,CONCLUIDO,0.15,0.1,0.0,0.17,0.0,0.0,,,,,,2019.0,0.0,0.0,1,D,,270.0,APP SAF,2019.0,2019.0,2019.0,1,ATIVO,1.0,0.0
934,PRO0905,SEL0935,97,12,0,3,CONCLUIDO,0.95,2.29,0.0,2.29,0.0,0.0,,,,,,2019.0,0.0,0.0,1,D,,1880.0,APP SAF,2019.0,2019.0,2019.0,1,ATIVO,1.0,0.0
935,PRO0906,SEL0936,0,0,0,0,,0.0,0.0,0.0,0.1,0.0,0.0,,,,,,2019.0,0.0,0.0,,,,,,2019.0,2019.0,2019.0,0,ATIVO,0.0,0.0
936,PRO0907,SEL0937,0,0,0,0,,0.0,0.0,0.0,2.29,0.0,0.0,,,,,,2019.0,0.0,0.0,,,,,,2019.0,2019.0,2019.0,0,ATIVO,0.0,0.0
