,COD_PRO,COD_EXT_x,COD_MUN,COD_SEDE,Farm,X_UTM,Y_UTM,County,Num_Visits,CAD_PLA,COD_EXT_y,Affiliation,NOME DA ASSOCIÇÃO,Main_Activity,Secondary_Activity
1016,PRO1017,12.0,3,CAS01190517,CHACARA BOA VISTA,617497.0,8739468.0,CASTANHEIRAS,0,PLA 1016,12.0,STTR,,LAVOURA,BOVINOCULTURA DE LEITE
1017,PRO1018,12.0,3,CAS02190517,BOA VISTA,620230.0,8742963.0,CASTANHEIRAS,0,PLA 1017,12.0,STTR,,FRUTICULTURA,BOVINOCULTURA DE LEITE
1018,PRO1019,12.0,3,CAS03190517,VISTA ALEGRE,620153.0,8743145.0,CASTANHEIRAS,0,PLA 1018,12.0,STTR,,BOVINOCULTURA DE LEITE,LAVOURA
1019,PRO1020,12.0,9,NHO01190519,ALTA ALEGRE,592999.0,8700279.0,NOVO HORIZONTE DO OESTE,0,PLA 1019,12.0,ASSOCIAÇÃO,,BOVINOCULTURA MISTA,
1020,PRO1021,12.0,3,CAS01190507,SITIO CALIFORNIA,620476.0,8742466.0,CASTANHEIRAS,0,PLA 1020,12.0,STTR,,BOVINOCULTURA DE CORTE,
1021,PRO1022,12.0,9,NHO01190523,SITIO FLORESTAL,589584.0,8696955.0,NOVO HORIZONTE DO OESTE,0,PLA 1021,12.0,STTR,,BOVINOCULTURA DE CORTE,CAFEICULTURA
1022,PRO1023,16.0,5,ITA01190524,SITIO NOVA ESPERANÇA,466271.0,8976743.0,ITAPUÃ DO OESTE,0,PLA 1022,16.0,,,BOVINOCULTURA DE CORTE,
1023,PRO1024,5.0,1,ARQ01181218,SITIO IMACULADO CORACAO DE MARIA,506300.0,8912461.0,ARIQUEMES,0,PLA 1023,5.0,ASSOCIAÇÃO,,HORTICULTURA,CAFEICULTURA
1024,PRO1025,7.0,6,JAR01190528,,554657.0,8826611.0,JARU,0,PLA 1024,7.0,ASSOCIAÇÃO,,FRUTICULTURA*,BOVINOCULTURA DE CORTE
1025,PRO1026,5.0,1,ARQ02190528,SITIO SAO BERNARDO,501893.0,8881694.0,ARIQUEMES,0,PLA 1025,5.0,,,CAFEICULTURA,BOVINOCULTURA DE CORTE
1026,PRO1027,5.0,1,ARQ02190528,SITIO SAO BERNARDO,501893.0,8881694.0,ARIQUEMES,0,PLA 1026,5.0,,,CAFEICULTURA,HORTICULTURA
1027,PRO1028,5.0,1,ARQ03190528,SITIO SAO BERNARDO,499323.0,8881561.0,ARIQUEMES,0,PLA 1027,5.0,,,CAFEICULTURA,
1028,PRO1029,5.0,1,ARQ04190528,SITIO SAO BERNARDO,502068.0,8881687.0,ARIQUEMES,0,PLA 1028,5.0,,,CAFEICULTURA,HORTICULTURA
1029,PRO1030,5.0,1,ARQ05190528,SITIO PINGO D`ÁGUA,481261.0,8876715.0,ARIQUEMES,0,PLA 1029,5.0,,,ARRENDAMENTO,
1030,PRO1031,5.0,1,ARQ01190529,CHACARA BOM JESUS,508307.0,8904565.0,ARIQUEMES,0,PLA 1030,5.0,,,AGROINDUSTRIA,
1031,PRO1032,5.0,1,ARQ01190530,SITIO PINGO D`ÁGUA,535978.0,8895964.0,ARIQUEMES,0,PLA 1031,5.0,,,BOVINOCULTURA DE CORTE,CAFEICULTURA
1032,PRO1033,5.0,1,ARQ02190530,SITIO NOVO MUNDO,537119.0,8897942.0,ARIQUEMES,0,PLA 1032,5.0,STTR,,BOVINOCULTURA DE LEITE,
1033,PRO1034,5.0,1,ARQ04190530,SITIO DA FARTURA,534057.0,8896180.0,ARIQUEMES,0,PLA 1033,5.0,,,LAVOURA,FRUTICULTURA
1034,PRO1035,5.0,1,ARQ01190531,CHACARA CANA,489977.0,8891074.0,ARIQUEMES,0,PLA 1034,5.0,,,CAFEICULTURA,
1035,PRO1036,1.0,1,ARQ02190530,SITIO SOUZA,536948.0,8900336.0,ARIQUEMES,0,PLA 1035,1.0,,,BOVINOCULTURA MISTA,
1036,PRO1037,1.0,1,ARQ01190530,SITIO 3 IRMAOS,536911.0,8899676.0,ARIQUEMES,0,PLA 1036,1.0,,,BOVINOCULTURA DE LEITE,
1037,PRO1038,1.0,1,ARQ03190530,SITIO RIO AZUL,535561.0,8894014.0,ARIQUEMES,0,PLA 1037,1.0,,,CAFEICULTURA,
1038,PRO1039,1.0,1,ARQ02190529,SITIO NOSSA SENHORA APARECIDA,509543.0,8917319.0,ARIQUEMES,0,PLA 1038,1.0,,,HORTICULTURA,
1039,PRO1040,1.0,1,ARQ01190529,ESTANCIA SANTA ROSA,501877.0,8916925.0,ARIQUEMES,0,PLA 1039,1.0,,,BOVINOCULTURA DE CORTE,
1040,PRO1041,1.0,1,ARQ03190529,SITIO SAPUCAIA,510191.0,8906758.0,ARIQUEMES,0,PLA 1040,1.0,,,LAVOURA,FRUTICULTURA
1041,PRO1042,2.0,1,ARQ01190531,CHACARA 5 ESTRELAS,489441.0,8890926.0,ARIQUEMES,0,PLA 1041,2.0,,,CAFEICULTURA,
1042,PRO1043,5.0,1,ARQ01190530,SITIO JB,535832.0,8903685.0,ARIQUEMES,0,PLA 1042,5.0,ASSOCIAÇÃO,,CAFEICULTURA,
1043,PRO1044,2.0,1,ARQ01190529,,509440.0,8906549.0,ARIQUEMES,0,PLA 1043,2.0,ASSOCIAÇÃO,,FRUTICULTURA*,
1044,PRO1045,2.0,1,ARQ01190529,SITIO SÃO FRANCISCO,519339.0,8917280.0,ARIQUEMES,0,PLA 1044,2.0,,,BOVINOCULTURA DE LEITE,
1045,PRO1046,2.0,4,CUJ01190523,SITIO BELA VISTA,548574.0,8980497.0,CUJUBIM,0,PLA 1045,2.0,OUTRA,,CAFEICULTURA,BOVINOCULTURA DE LEITE
1046,PRO1047,16.0,6,JAR01190612,CHACARA BOA SORTE,566833.0,8834306.0,JARU,0,PLA 1046,16.0,ASSOCIAÇÃO,,BOVINOCULTURA DE CORTE,FRUTICULTURA
1047,PRO1048,8.0,7,JIP01190416,CHACARA 01,607694.0,8785587.0,JI-PARANÁ,0,PLA 1047,8.0,STTR,,PISCICULTURA,CAFEICULTURA
1048,PRO1049,4.0,14,RLM01190617,SITIO ESPERANÇA,649446.0,8711932.0,ROLIM DE MOURA,0,PLA 1048,4.0,STTR,,BOVINOCULTURA DE CORTE,LAVOURA
1049,PRO1050,13.0,14,RLM02190617,RANCHO ALEGRE,649426.0,8717471.0,ROLIM DE MOURA,0,PLA 1049,13.0,STTR,,BOVINOCULTURA DE LEITE,
1050,PRO1051,13.0,14,RLM03190617,ESTANCIA SOBERANO,649367.0,8720445.0,ROLIM DE MOURA,0,PLA 1050,13.0,STTR,,BOVINOCULTURA DE CORTE,
