,COD_PLA,COD_PRO,Farm,X_UTM,Y_UTM,County,GLEBA,LINHA,KM,LOTE,Num_Visits,ASSOCIAÇÃO / STTR,Main_Activity,Secondary_Activity,Piles,Columns,Tensioners,Wire_rolls,Isolation,Carbonate,APP_Area,RL_Area,Total_Area,Group_RL,CultureI_RL,CultureII_RL,Seedlings_RL,Method_RL,Year_RL,Group_APP,CultureI_APP,CultureII_APP,Seedlings_APP,Method_APP,Year_APP,Concluded_Isolation
0,PLA 0001,PRO 0001,SITIO ITAMARAJU,604910.0,8690361.0,ROLIM DE MOURA,4,156 SUL,2020-05-13 00:00:00,104,1,STTR,BOVINOCULTURA DE CORTE,PISCICULTURA,,,,,,0,,,0.0,,0,,0,,2018.0,,,0,,,2018.0,0
1,PLA 0002,PRO 0002,NOSSA SENHORA DE APARECIDA,613360.0,8695236.0,ROLIM DE MOURA,26,164 SUL,2020-05-08 00:00:00,21,16,ASSOCIAÇÃO,BOVINOCULTURA DE LEITE,,104,10,20.0,3.0,CONCLUIDO,0.95,1.06,,1.06,,0,,0,,2019.0,2,A,C,0.0,APP SAF,2019.0,1
2,PLA 0003,PRO 0003,SITIO ITAGUAJE,637241.0,8713875.0,ROLIM DE MOURA,13,188 SUL,10,86,23,ASSOCIAÇÃO,BOVINOCULTURA DE LEITE,APICULTURA,129,6,25.0,3.0,,0,3.7,,3.7,,0,,0,,2018.0,2,A,C,1920.0,APP SAF,2018.0,0
3,PLA 0004,PRO 0004,SITIO BOA VISTA,637050.0,8716313.0,ROLIM DE MOURA,11,188 SUL,13,81,24,ASSOCIAÇÃO,BOVINOCULTURA DE LEITE,CAFEICULTURA,204,5,20.0,4.0,,0,1.22,,1.22,,0,,0,,2018.0,2,A,C,2500.0,APP SAF,2018.0,0
4,PLA 0005,PRO 0005,POUSO ALEGRE,620717.0,8708956.0,ROLIM DE MOURA,21,172 NORTE,5,96-C,1,STTR,BOVINOCULTURA DE LEITE,SAF,,,,,,0,,,0.0,,0,,0,,2018.0,,,0,0.0,,2018.0,0
5,PLA 0006,PRO 0006,SITIO PARAISO,621334.0,8731121.0,ROLIM DE MOURA,19,172 NORTE,10,24,0,STTR,CAFEICULTURA,SAF,,,,,,0,,,0.0,,0,,0,,2018.0,,,0,0.0,,2018.0,0
6,PLA 0007,PRO 0007,CHACARA SOL BRILHANTE,625152.0,8706698.0,ROLIM DE MOURA,19,176 NORTE,2020-05-03 00:00:00,100-C,0,ASSOCIAÇÃO,CAFEICULTURA,LAVOURA,,,,,,0,,,0.0,,0,,0,,2018.0,,,0,0.0,,2018.0,0
7,PLA 0008,PRO 0008,SITIO ALTO ALEGRE,621575.0,8700745.0,ROLIM DE MOURA,20,172 SUL,3,79-A,0,ASSOCIAÇÃO,BOVINOCULTURA DE CORTE,CAFEICULTURA,46,3,10.0,1.0,CONCLUIDO,0.66,1.0,,1.0,,0,,0,,2019.0,5,H,,560.0,APP DIV,2019.0,1
8,PLA 0009,PRO 0009,CHACARA RAMOS,620977.0,8690594.0,ROLIM DE MOURA,22,172 SUL,13,31-A2,0,ASSOCIAÇÃO,BOVINOCULTURA DE LEITE,CAFEICULTURA,,,,,,0,,,0.0,,0,,0,,2018.0,,,0,0.0,,2018.0,0
9,PLA 0010,PRO 0010,CHACARA AMAZONIA NOSSA,626050.0,8689710.0,ROLIM DE MOURA,18,176 SUL,14,57,0,ASSOCIAÇÃO,CAFEICULTURA,BOVINOCULTURA DE LEITE,,,,,,0,,,0.0,,B,,0,RL SAF,2018.0,1,B,,0.0,APP SAF,2018.0,0
10,PLA 0011,PRO 0011,ESTANCIA VIVAN,636920.0,8694152.0,ROLIM DE MOURA,14,188 SUL,2020-05-09 00:00:00,23-A REM,0,ASSOCIAÇÃO,BOVINOCULTURA DE CORTE,,,,,,,0,,,0.0,,0,,0,,2018.0,,,0,0.0,,2018.0,0
11,PLA 0012,PRO 0012,CANTINHO DO CÉU,637184.0,8693669.0,ROLIM DE MOURA,12,188 SUL,10,65,0,ASSOCIAÇÃO,FRUTICULTURA,,,,,,,0,,,0.0,,,,,,2018.0,,,,,,2018.0,0
12,PLA 0013,PRO 0013,CHACARA CONSUELO,632543.0,8694695.0,ROLIM DE MOURA,16,184 SUL,9,22 -E,0,ASSOCIAÇÃO,OLERICULTURA,CAFEICULTURA,20,3,10.0,1.0,,0,0.3,,0.3,,,,,,2019.0,5,H,,230.0,APP DIV,2019.0,0
13,PLA 0014,PRO 0014,SITIO TOTOEL,633084.0,8699303.0,ROLIM DE MOURA,16,184 SUL,2020-05-04 00:00:00,13-B3-A,0,ASSOCIAÇÃO,BOVINOCULTURA DE CORTE,LAVOURA,99,8,10.0,3.0,,0.65,0.53,,0.53,,,,,,2019.0,5,H,,1200.0,APP DIV,2019.0,0
14,PLA 0015,PRO 0015,CHACARA PRESENTE,634801.0,8692636.0,ROLIM DE MOURA,14,184 SUL,11,73-A1,0,ASSOCIAÇÃO,CAFEICULTURA,HORTICULTURA,,,,,,0.2,,0.37,0.37,1,C,,600,RL SAF,2019.0,,,,,,2019.0,0
15,PLA 0016,PRO 0016,CHACARA SÃO JOSÉ,624985.0,8696436.0,ROLIM DE MOURA,19,176 SUL,7,20,0,ASSOCIAÇÃO,CAFEICULTURA,FRUTICULTURA*,,,,,,0,0.35,0.2,0.55,1,B,,200,RL SAF,2018.0,1,C,,0.0,APP SAF,2018.0,0
16,PLA 0017,PRO 0017,SITIO SAO PEDRO,621274.0,8695470.0,ROLIM DE MOURA,20,172 SUL,8,68,0,ASSOCIAÇÃO,BOVINOCULTURA DE CORTE,CAFEICULTURA,,,,,,0,,,0.0,,,,,,2018.0,,,,,,2018.0,0
17,PLA 0018,PRO 0018,CHACARA NOSSA SENHORA APARECIDA,621114.0,8693308.0,ROLIM DE MOURA,25,172 SUL,10,22,0,ASSOCIAÇÃO,BOVINOCULTURA DE CORTE,,,,,,,0,,,0.0,,,,,,2018.0,,,,,,2018.0,0
18,PLA 0019,PRO 0019,SITIO PLANALTO,637243.0,8688906.0,ROLIM DE MOURA,12,188 SUL,15,55,0,ASSOCIAÇÃO,BOVINOCULTURA DE LEITE,,,,,,,0,,,0.0,,,,,,2018.0,,,,,,2018.0,0
19,PLA 0020,PRO 0020,CHACARA FORTALEZA,637076.0,8695780.0,ROLIM DE MOURA,12,188 SUL,7.5,69-B-2,0,ASSOCIAÇÃO,BOVINOCULTURA DE LEITE,PISCICULTURA,91,6,20.0,3.0,CONCLUIDO,0.4,0.62,,0.62,,,,,,2019.0,2,A,C,615.0,APP SAF,2019.0,1
20,PLA 0021,PRO 0021,CHACARA GUADALUPE,625138.0,8693528.0,ROLIM DE MOURA,18,176 SUL,10,64-A,0,ASSOCIAÇÃO,HORTICULTURA,BOVINOCULTURA DE CORTE,,,,,,0,,,0.0,,,,,,2019.0,,,,,,2019.0,0
21,PLA 0022,PRO 0022,SITIO BIANCHI,637121.0,8713950.0,ROLIM DE MOURA,13,188 NORTE,10.5,85,0,ASSOCIAÇÃO,CAFEICULTURA,BOVINOCULTURA DE LEITE,65,3,10.0,2.0,CONCLUIDO,0.75,1.39,,1.39,,,,,,2019.0,5,H,,1350.0,APP DIV,2019.0,1
22,PLA 0023,PRO 0023,CHACARA PARANAENSE,630188.0,8694325.0,ROLIM DE MOURA,16,180 SUL,9,66-B2,0,STTR,BOVINOCULTURA DE CORTE,,75,6,15.0,2.0,CONCLUIDO,0.5,0.73,,0.73,,0,,0,,2019.0,2,A,C,890.0,APP SAF,2019.0,1
23,PLA 0024,PRO 0024,SITIO SOARES,637116.0,8711318.0,ROLIM DE MOURA,13,188 NORTE,7.5,91-B,0,ASSOCIAÇÃO,BOVINOCULTURA DE LEITE,,,,,,,0,,,0.0,,,,,,2019.0,,,,,,2019.0,0
24,PLA 0025,PRO 0025,SITIO RECORD,506087.0,8912192.0,ARIQUEMES,17,"BR-364, LINHA C 70",,42,0,ASSOCIAÇÃO,BOVINOCULTURA DE LEITE,SAF,,,,,,,,,0.0,,,,,,2019.0,,,,,,2019.0,0
25,PLA 0026,PRO 0026,SITIO RIACHOELO,534165.0,8869744.0,ARIQUEMES,2,"BR-364, LINHA C 18",5,15,0,ASSOCIAÇÃO,LAVOURA,FRUTICULTURA*,107,8,10.0,3.0,,275,,4.16,4.16,5,H,,400,RL DIV,2019.0,5,H,,100.0,APP SAF,2019.0,0
26,PLA 0027,PRO 0027,SITIO SANTA ROSA,539352.0,8869852.0,ARIQUEMES,2,"BR-364, LINHA C 18",5,23,0,ASSOCIAÇÃO,BOVINOCULTURA DE LEITE,LAVOURA,103,8,40.0,3.0,,450,0.39,1.0,1.39,5,H,,222,RL DIV,2019.0,1,B,,600.0,APP SAF,2019.0,0
27,PLA 0028,PRO 0028,BAIERPOOL,578370.0,8804760.0,OURO PRETO DO OESTE,12A,37,10,32F,0,ASSOCIAÇÃO,BOVINOCULTURA DE LEITE,,,,,,,,,,0.0,,,,,,2019.0,,,,,,2019.0,0
28,PLA 0029,PRO 0029,CHACARA SOL NASCENTE,581359.0,8818445.0,OURO PRETO DO OESTE,14,BR 364,386,19,0,ASSOCIAÇÃO,BOVINOCULTURA DE LEITE,FRUTICULTURA,,,,,,700,,1.42,1.42,1,B,,1500,RL SAF,2019.0,,,,,,2019.0,0
29,PLA 0031,PRO 0030,SÍTIO 2 IRMÃS,474799.0,8992163.0,ITAPUÃ DO OESTE,S/N,616,5,S/N,0,STTR,BOVINOCULTURA DE LEITE,,0,0,0.0,0.0,CONCLUIDO,,0.54,,0.54,,,,,,2018.0,1,B,,1100.0,APP SAF,2018.0,1
30,PLA 0032,PRO 0031,SANTO EXPEDITO,624302.0,8703579.0,ROLIM DE MOURA,20,25,8.5,7,0,STTR,BOVINOCULTURA DE CORTE,,30,5,0.0,1.0,CONCLUIDO,,0.25,,0.25,,,,,,2018.0,5,H,,500.0,APP DIV,2018.0,1
31,PLA 0033,PRO 0032,SITIO BOA VISTA,606752.0,8828914.0,OURO PRETO DO OESTE,29,204,,56,0,ASSOCIAÇÃO,BOVINOCULTURA DE CORTE,PISCICULTURA,,,,,,,,,0.0,,,,,,2018.0,,,,,,2018.0,0
32,PLA 0034,PRO 0033,SITIO ITAJARA II,623815.0,8703428.0,ROLIM DE MOURA,20,RO 010 OESTE,9,6,0,STTR,BOVINOCULTURA DE CORTE,CAFEICULTURA,,,,,,0.125,1.1,,1.1,,,,,,2019.0,5,H,,,APP DIV,2019.0,0
33,PLA 0035,PRO 0034,CHACARA RECANTO,629374.0,8692614.0,ROLIM DE MOURA,16,180 SUL,10.5,63 - A,0,STTR,BOVINOCULTURA DE CORTE,,,,,,CONCLUIDO,0.175,0.5,,0.5,,,,,,2019.0,1,B,,,APP SAF,2019.0,1
34,PLA 0036,PRO 0035,SITIO CACHOEIRA,533680.0,8869410.0,ARIQUEMES,2,"BR 364, LINHA C 18",5,14,0,ASSOCIAÇÃO,AGROINDUSTRIA,,25,3,0.0,1.0,,250,0.33,2.78,3.11,1,A,,360,RL SAF,2019.0,5,H,,100.0,APP DIV,2019.0,0
35,PLA 0037,PRO 0036,SÍTIO VISTA ALEGRE,653360.0,8694367.0,ROLIM DE MOURA,4,204 SUL,9.5,67,0,STTR,BOVINOCULTURA DE CORTE,PISCICULTURA,48,5,15.0,2.0,CONCLUIDO,0.525,1.33,,1.33,,,,,,2019.0,1,A,,900.0,APP SAF,2019.0,1
36,PLA 0038,PRO 0037,SITIO ESTANCIA AZA BRANCA,511066.0,8925460.0,RIO CRESPO,1,C-85,TB-65/KM-2,3-D,0,OUTRA,BOVINOCULTURA MISTA,,,,,,CONCLUIDO,0.277,3.37,,3.37,,0,,0,,2019.0,1,A,,500.0,APP SAF,2019.0,1
37,PLA 0039,PRO 0038,SITIO DALPRA E DALPRA,511280.0,8932159.0,RIO CRESPO,2,C-90,KM-3,1,0,ASSOCIAÇÃO,BOVINOCULTURA DE LEITE,LAVOURA,,,,,CONCLUIDO,0.277,8.18,,8.18,,0,,0,,2019.0,1,A,,500.0,APP DIV,2019.0,1
38,PLA 0040,PRO 0039,SITIO BOA ESPERENÇA,506972.0,8932134.0,RIO CRESPO,13,C-90,KM-12,48,0,ASSOCIAÇÃO,BOVINOCULTURA MISTA,,,,,,CONCLUIDO,0.166,1.52,,1.52,,0,,0,,2019.0,1,A,,300.0,APP DIV,2019.0,1
39,PLA 0041,PRO 0040,SITIO 2 IRMÃOS,504268.0,8932134.0,RIO CRESPO,13,C-90,KM-15,34-B,0,ASSOCIAÇÃO,BOVINOCULTURA DE LEITE,LAVOURA,,,,,CONCLUIDO,0.166,1.1,,1.1,,0,,0,,2019.0,1,A,,,APP DIV,2019.0,1
40,PLA 0042,PRO 0041,SITIO CÃNGURU,508303.0,8932006.0,RIO CRESPO,14,C-90,KM-10,74,0,ASSOCIAÇÃO,BOVINOCULTURA DE LEITE,LAVOURA,,,,,CONCLUIDO,0.553,10.6,,10.6,2,A,B,1000,RL SAF,2019.0,2,A,B,0.0,,2019.0,1
41,PLA 0043,PRO 0042,SITIO N.S APARECIDA,504865.0,8931967.0,RIO CRESPO,14,C-90,KM-12,59,0,ASSOCIAÇÃO,CAFEICULTURA,LAVOURA,,,,,,NÃO,,,0.0,,0,,0,,2019.0,,,0,0.0,,2019.0,0
42,PLA 0044,PRO 0043,NÃO,510070.0,8932157.0,RIO CRESPO,13,C-90,KM-8,62,0,ASSOCIAÇÃO,BOVINOCULTURA DE LEITE,LAVOURA,,,,,CONCLUIDO,0.387,2.57,0.73,3.3,,0,,0,,2019.0,2,A,C,,APP SAF,2019.0,1
43,PLA 0045,PRO 0044,SITIO LIRIO DOS VALES,509751.0,8932062.0,RIO CRESPO,14,C-90,KM-8,85,0,ASSOCIAÇÃO,LAVOURA,PISCICULTURA,,,,,CONCLUIDO,0.332,1.24,,1.24,,0,,0,,2019.0,2,A,B,600.0,APP SAF,2019.0,1
44,PLA 0046,PRO 0045,NÃO,509704.0,8932110.0,RIO CRESPO,13,C-90,KM-8,60,0,ASSOCIAÇÃO,LAVOURA,LAVOURA,,,,,,NÃO,,,0.0,1,A,,0,RL SAF,2019.0,2,A,B,,APP SAF,2019.0,0
45,PLA 0047,PRO 0046,SITIO SAO LUCAS,511137.0,8931038.0,RIO CRESPO,2,C-90,KM-1,1,0,ASSOCIAÇÃO,BOVINOCULTURA DE LEITE,LAVOURA,,,,,CONCLUIDO,,4.0,,4.0,1,A,,0,RL SAF,2019.0,2,A,C,,APP SAF,2019.0,1
46,PLA 0048,PRO 0047,SÍTIO BOA ESPERANÇA,629174.0,8719147.0,CASTANHEIRAS,17,180,15.5,75A,0,ASSOCIAÇÃO,BOVINOCULTURA DE LEITE,,55,8,15.0,2.0,,,0.41,,0.41,,,,,,2018.0,,,,750.0,APP DIV,2018.0,0
47,PLA 0049,PRO 0048,SITIO DELFINO,529312.0,8867380.0,ARIQUEMES,S/I,"BR-364, LINHA C 17",460,S/I,0,ASSOCIAÇÃO,BOVINOCULTURA DE CORTE,LAVOURA,,,,,,,,,0.0,,,,,,2018.0,,,,,,2018.0,0
48,PLA 0050,PRO 0049,SITIO AGUA BOA,531944.0,8869292.0,ARIQUEMES,1,"BR-364, LINHA C 17",460,81,0,ASSOCIAÇÃO,FRUTICULTURA*,BOVINOCULTURA DE CORTE,,,,,,,,,0.0,,,,,,2018.0,,,,,,2018.0,0
49,PLA 0051,PRO 0050,SITIO CACHOEIRA,591078.0,8807051.0,OURO PRETO DO OESTE,8,31,4,7,0,ASSOCIAÇÃO,PISCICULTURA,ARRENDAMENTO,56,4,,2.0,CONCLUIDO,0.15,0.66,,0.66,,,,,,2019.0,1,A,,,APP SAF,2019.0,1
50,PLA 0052,PRO 0051,S/I,528266.0,8897448.0,ARIQUEMES,8,"BR-364, LINHA C 55",47,192,0,ASSOCIAÇÃO,CAFEICULTURA,BOVINOCULTURA DE CORTE,,,,,,,,,0.0,,,,,,2018.0,,,,,,2018.0,0
51,PLA 0053,PRO 0052,SITIO NOSSA SENHORA APARECIDA,537511.0,8869494.0,ARIQUEMES,1,"BR-364, LINHA C 19",7,23,0,ASSOCIAÇÃO,LAVOURA,BOVINOCULTURA DE CORTE,,,,,,,,,0.0,,,,,,2018.0,,,,,,2018.0,0
52,PLA 0054,PRO 0053,SITIO BELA VISTA,590119.0,8808394.0,OURO PRETO DO OESTE,7,31,4,28A,0,,BOVINOCULTURA MISTA,,,,,,,,,,0.0,,,,,,2018.0,,,,,,2018.0,0
53,PLA 0055,PRO 0054,SITIO SAO JOSE,494687.0,8881133.0,ARIQUEMES,35,"BR-364, LINHA C 40",S/I,45,0,ASSOCIAÇÃO,FRUTICULTURA*,BOVINOCULTURA DE CORTE,,,,,,,,,0.0,,,,,,2018.0,,,,,,2018.0,0
54,PLA 0056,PRO 0055,SITIO FENIX,508867.0,8886558.0,ARIQUEMES,1,"BR-364, LINHA C 45",S/I,10,0,ASSOCIAÇÃO,BOVINOCULTURA DE LEITE,,,,,,,,,,0.0,,,,,,2018.0,,,,,,2018.0,0
55,PLA 0057,PRO 0056,SITIO BOA VISTA,589551.0,8807505.0,OURO PRETO DO OESTE,8,31,4,4,0,ASSOCIAÇÃO,BOVINOCULTURA DE LEITE,,89,2,,3.0,CONCLUIDO,0.15,0.84,,0.84,,,,,,2019.0,1,A,,,APP SAF,2019.0,1
56,PLA 0058,PRO 0057,SITIO VISTA ALEGRE,532405.0,8888686.0,ARIQUEMES,10,"BR-364, TV: DA 50 COM A 45",,242,0,ASSOCIAÇÃO,CAFEICULTURA,FRUTICULTURA,,,,,,,,,0.0,,,,,,2018.0,,,,,,2018.0,0
57,PLA 0059,PRO 0058,SITIO ALTO ALEGRE,590731.0,8807111.0,OURO PRETO DO OESTE,8,31,4,6,0,ASSOCIAÇÃO,BOVINOCULTURA DE LEITE,,62,4,,2.0,CONCLUIDO,0.1,0.58,,0.58,,,,,,2019.0,1,A,,,APP SAF,2019.0,1
58,PLA 0060,PRO 0059,CHACARA BOM JARDIM,510516.0,8904870.0,ARIQUEMES,,RO-257 TV: B 65 HORTIFRUTIGRANJEIRO,14,88,0,ASSOCIAÇÃO,HORTICULTURA,,,,,,,,,,0.0,,,,,,2018.0,,,,,,2018.0,0
59,PLA 0061,PRO 0060,SITIO SÃO JORGE,591856.0,8806832.0,OURO PRETO DO OESTE,8,31,4,8,0,ASSOCIAÇÃO,BOVINOCULTURA MISTA,,,,,,,,,,0.0,,,,,,2018.0,,,,,,2018.0,0
60,PLA 0062,PRO 0061,FAZENDA SÃO VICENTE,575505.0,8817058.0,OURO PRETO DO OESTE,19,81,4,20,0,ASSOCIAÇÃO,BOVINOCULTURA DE LEITE,FRUTICULTURA*,,,,,,,,,0.0,,,,,,2018.0,,,,,,2018.0,0
61,PLA 0063,PRO 0062,CHACARA SANTA RITA DE CASSIA,508998.0,8905725.0,ARIQUEMES,,RO-257 TV: B 65 HORTIFRUTIGRANJEIRO,,10,0,ASSOCIAÇÃO,AGROINDUSTRIA,,,,,,,,,,0.0,,,,,,2018.0,,,,,,2018.0,0
62,PLA 0064,PRO 0063,SITIO DUAS IRMAS,536871.0,8902080.0,ARIQUEMES,1,"RO-257, LINHA C 60",42,50,0,ASSOCIAÇÃO,BOVINOCULTURA DE LEITE,CAFEICULTURA,,,,,,,,,0.0,2,A,B,1665,RL SAF,2020.0,1,A,-,200.0,APP DIV,2020.0,0
63,PLA 0065,PRO 0064,CHACARA SANTA MARGARIDA,575864.0,8817165.0,OURO PRETO DO OESTE,19,81,4,20,0,ASSOCIAÇÃO,FRUTICULTURA*,CAFEICULTURA,,,,,,,,,0.0,,,,,,2018.0,,,,,,2018.0,0
64,PLA 0066,PRO 0065,SITIO SAO JOSE,541822.0,8900381.0,ARIQUEMES,,RO-257 C 60 TV GETULIO VARGAS,14,,0,ASSOCIAÇÃO,BOVINOCULTURA DE CORTE,,,,,,,,,,0.0,,,,,,2018.0,,,,,,2018.0,0
65,PLA 0067,PRO 0066,SITIO MARQUES,575992.0,8817191.0,OURO PRETO DO OESTE,19,81,4,20,0,ASSOCIAÇÃO,BOVINOCULTURA DE CORTE,,13,2,,1.0,CONCLUIDO,0.05,0.36,,0.36,,,,,,2019.0,1,C,,,APP SAF,2019.0,1
66,PLA 0068,PRO 0067,SITIO DOS PREGUICOSO,509428.0,8906523.0,ARIQUEMES,,RO-257 ASSENTAMENTO MADRE CRISTINA,,,0,ASSOCIAÇÃO,SAF,BOVINOCULTURA DE LEITE,,,,,,,,,0.0,,,,,,2018.0,,,,,,2018.0,0
67,PLA 0069,PRO 0068,SITIO DA ESPERANÇA,479439.0,8901299.0,ARIQUEMES,48,"RO-421, LINHA C 60",,32,0,ASSOCIAÇÃO,BOVINOCULTURA DE LEITE,FRUTICULTURA*,,,,,,,,,0.0,,,,,,2018.0,,,,,,2018.0,0
68,PLA 0070,PRO 0069,SITIO BOA ESPERANCA,489687.0,8906824.0,ARIQUEMES,30,"RO-421, LINHA C 65, TV: B 40",,22,0,ASSOCIAÇÃO,BOVINOCULTURA DE CORTE,CAFEICULTURA,,,,,,614,,1.0,1.0,2,B,C,1111,RL SAF,2019.0,,,,,,2019.0,0
69,PLA 0071,PRO 0070,SITIO BOA ESPERANCA,489740.0,8906706.0,ARIQUEMES,30,"RO-421, LINHA C 65, TV: B 40",,22,0,ASSOCIAÇÃO,BOVINOCULTURA DE CORTE,CAFEICULTURA,,,,,,,,,0.0,,,,,,2018.0,,,,,,2018.0,0
70,PLA 0072,PRO 0071,CHACARA OURO VERDE,485920.0,8906050.0,ARIQUEMES,,"RO-421, LINHA C 65, TV: B 40",,,0,ASSOCIAÇÃO,FRUTICULTURA,LAVOURA,,,,,,,,,0.0,,,,,,2018.0,,,,,,2018.0,0
71,PLA 0073,PRO 0072,CHACARA ESPERANCA,624944.0,8703680.0,ROLIM DE MOURA,19,RO-010,8.5,1,0,STTR,BOVINOCULTURA DE CORTE,,,,,,,,,,0.0,,,,,,2019.0,,,,,,2019.0,0
72,PLA 0074,PRO 0073,CHACARA ALECRIM,632803.0,8696522.0,ROLIM DE MOURA,14,184 SUL,7,71,0,STTR,AGRICULTURA,,,,,,,0.7,,,0.0,-,-,-,0,-,2020.0,5,H,-,400.0,APP SAF,2020.0,0
73,PLA 0075,PRO 0074,SITIO BOM PASTOR,652944.0,8715428.0,ROLIM DE MOURA,12,204 NORTE,12,34,0,STTR,BOVINOCULTURA DE LEITE,,60,,,2.0,CONCLUIDO,0.55,2.5,,2.5,,,,,,2019.0,1,A,,900.0,APP SAF,2019.0,1
74,PLA 0076,PRO 0075,CHACARA ALMEIDA,613386.0,8709194.0,ROLIM DE MOURA,23,164 NORTE,5.5,16,0,ASSOCIAÇÃO,LAVOURA,BOVINOCULTURA DE LEITE,28,3,15.0,1.0,CONCLUIDO,0.05,0.15,,0.15,,,,,,2019.0,5,H,,80.0,APP DIV,2019.0,1
75,PLA 0077,PRO 0076,CHACARA SANTA JUCILEIDE,575993.0,8817343.0,OURO PRETO DO OESTE,19,81,4,20,0,ASSOCIAÇÃO,BOVINOCULTURA DE LEITE,,,,,,,,,,0.0,,,,,,2018.0,,,,,,2018.0,0
76,PLA 0078,PRO 0077,SITIO BOA VISTA,587960.0,8808004.0,OURO PRETO DO OESTE,12,31,4,13,0,ASSOCIAÇÃO,BOVINOCULTURA MISTA,,,,,,,,,,0.0,,,,,,2018.0,1,A,,,APP SAF,2018.0,0
77,PLA 0079,PRO 0078,CHACARA PRIMAVERA,592774.0,8806771.0,OURO PRETO DO OESTE,7,31,4,23,0,ASSOCIAÇÃO,,,,,,,,,,,0.0,,,,,,2018.0,,,,,,2018.0,0
78,PLA 0080,PRO 0079,SITIO BOA ESPERANÇA,593314.0,8807222.0,OURO PRETO DO OESTE,7,31,4,23,0,ASSOCIAÇÃO,BOVINOCULTURA DE LEITE,,48,2,,1.0,CONCLUIDO,0.15,0.43,,0.43,,,,,,2019.0,1,A,,,APP SAF,2019.0,1
79,PLA 0081,PRO 0080,SITIO CALIFORNIA,554657.0,8826611.0,JARU,66,632,15,24,0,ASSOCIAÇÃO,BOVINOCULTURA DE CORTE,LAVOURA,,,,,,,,,0.0,,,,,,2018.0,,,,,,2018.0,0
80,PLA 0082,PRO 0081,SITIO VALE DAS ESTRELAS,558637.0,8830728.0,JARU,66,632,10,12/A,0,ASSOCIAÇÃO,BOVINOCULTURA DE LEITE,LAVOURA,80,5,65.0,3.0,CONCLUIDO,0.166,1.23,,1.23,,,,,,2019.0,1,A,,200.0,APP SAF,2019.0,1
81,PLA 0083,PRO 0082,,558963.0,8859801.0,JARU,,601,12,,0,ASSOCIAÇÃO,LAVOURA,,,,,,,,,0.1,0.1,1,A,,,RL SAF,2019.0,,,,,,2019.0,0
82,PLA 0084,PRO 0083,SITIO BOA PROMESSA,562551.0,8845186.0,JARU,54,608,3.5,3,0,STTR,BOVINOCULTURA DE CORTE,,,,,,,,,,0.0,,,,,,2018.0,,,,,,2018.0,0
83,PLA 0085,PRO 0084,ALTO ALEGRE,564399.0,8846829.0,JARU,54,608,6,8,0,STTR,BOVINOCULTURA DE LEITE,,,,,,,,,,0.0,,,,,,2018.0,,,,,,2018.0,0
84,PLA 0086,PRO 0085,SALTO GRANDE,564537.0,8846919.0,JARU,54,608,6,8,0,STTR,BOVINOCULTURA DE LEITE,FRUTICULTURA*,,,,,,,,,0.0,,,,,,2018.0,,,,,,2018.0,0
85,PLA 0087,PRO 0086,SITIO OLIVEIRA,508093.0,8791303.0,JARU,3,628,80,59,0,STTR,BOVINOCULTURA DE LEITE,FRUTICULTURA,70,8,40.0,2.0,CONCLUIDO,,0.85,,0.85,,,,,,2019.0,1,A,,,APP SAF,2019.0,1
86,PLA 0088,PRO 0087,SITIO NOVA ESPERANÇA,508554.0,8792020.0,JARU,3,628,80,62,0,ASSOCIAÇÃO,BOVINOCULTURA DE LEITE,HORTICULTURA,95,8,40.0,2.0,CONCLUIDO,,,0.46,0.46,2,A,B,750,RL SAF,2018.0,1,A,B,,APP SAF,2018.0,1
87,PLA 0088,PRO 0087,SITIO NOVA ESPERANÇA,508554.0,8792020.0,JARU,3,628,80,62,0,ASSOCIAÇÃO,BOVINOCULTURA DE LEITE,HORTICULTURA,95,8,40.0,2.0,CONCLUIDO,,,0.46,0.46,2,A,B,750,RL SAF,2018.0,1,A,B,,APP SAF,2018.0,0
88,PLA 0089,PRO 0088,SITIO A LISBOA,507697.0,8793434.0,JARU,3,627,80,64,0,ASSOCIAÇÃO,LAVOURA,BOVINOCULTURA DE LEITE,,,,,,,,,0.0,,,,,,2018.0,,,,,,2018.0,0
89,PLA 0090,PRO 0089,SITIO PARAISO,508102.0,8791062.0,JARU,4,628,82,31,0,STTR,BOVINOCULTURA DE LEITE,,,,,,,,,,0.0,,,,,,2018.0,,,,,,2018.0,0
90,PLA 0091,PRO 0090,BELA VISTA,506459.0,8789356.0,JARU,4,628,85,22,0,STTR,BOVINOCULTURA DE LEITE,,,,,,,,,,0.0,,,,,,2018.0,,,,,,2018.0,0
91,PLA 0092,PRO 0091,BOA VISTA,507933.0,8791146.0,JARU,3,628,85,58,0,STTR,BOVINOCULTURA DE LEITE,LAVOURA,,,,,,,,,0.0,,,,,,2018.0,,,,,,2018.0,0
92,PLA 0093,PRO 0092,SAO LUIS,620195.0,8830301.0,JI-PARANÁ,33,207,17,61,0,ASSOCIAÇÃO,BOVINOCULTURA DE CORTE,LAVOURA,,,,,,,,,0.0,,,,,,2018.0,,,,,,2018.0,0
