,COD_PLA,COD_PRO,Farm,X_UTM,Y_UTM,County,GLEBA,LINHA,KM,LOTE,Num_Visits,ASSOCIAÇÃO / STTR,Main_Activity,Secondary_Activity,Piles,Columns,Tensioners,Wire_rolls,Isolation,Carbonate,APP_Area,RL_Area,Total_Area,Group_RL,CultureI_RL,CultureII_RL,Seedlings_RL,Method_RL,Year_RL,Group_APP,CultureI_APP,CultureII_APP,Seedlings_APP,Method_APP,Year_APP,Concluded_Isolation
1354,PLA 1664,PRO 1308,S/N,611431.0,8956382.0,MACHADINHO D'OESTE,SETOR CHACAREIRO,ESTRADA DA CACHOEIRA,2,RANCHO 25,0,STTR,BOVINOCULTURA MISTA,,,,,,,,,,0.0,3,E,B,2960,RL SAF,2020.0,2,A,C,722.0,APP DIV,2020.0,0
1355,PLA 1665,PRO 1309,S/N,658665.0,8707294.0,ROLIM DE MOURA,1,208 NORTE,4,9-RM2,0,STTR,FRUTICULTURA,,,,,,,,,,0.0,0,-,-,0,,2020.0,2,A,B,700.0,APP SAF,2020.0,0
1356,PLA 1666,PRO 1310,S/N,658172.0,8707187.0,ROLIM DE MOURA,1,208 NORTE,4,8B1,0,STTR,LAVOURA,,,,,,,,,,0.0,2,B,D,677,RL SAF,2020.0,-,-,-,0.0,-,2020.0,0
1357,PLA 1666,PRO 1310,S/N,658172.0,8707187.0,ROLIM DE MOURA,1,208 NORTE,4,8B1,0,STTR,LAVOURA,,,,,,,,,,0.0,2,B,D,677,RL SAF,2020.0,-,-,-,0.0,-,2020.0,0
1358,PLA 1667,PRO 1311,SITIO MININHA I & II,570218.0,8944226.0,MACHADINHO D'OESTE,VAGALUME,C 08,58,C 08,0,STTR,BOVINOCULTURA MISTA,,,,,,,,,,0.0,4,G,,556,RL SAF,2020.0,5,J,-,2778.0,APP DIV,2020.0,0
1359,PLA 1668,PRO 1312,ESTANCIA RENASCER,617381.0,8701460.0,ROLIM DE MOURA,22,168 SUL,2.5,70A,0,STTR,BOVINOCULTURA DE CORTE,,,,,,,0.075,,,0.0,0,-,-,0,,2020.0,5,H,-,145.0,APP DIV,2020.0,0
1360,PLA 1669,PRO 1313,SITIO DE BAIXO DA MÃO DE DEUS,512875.0,8917448.0,ARIQUEMES,4,"BR 364, LINHA C 75",,4,0,,HORTALIÇAS,,,,,,,0.61,,,0.0,1,B,-,1220,RL SAF,2020.0,-,-,-,0.0,-,2020.0,0
1361,PLA 1670,PRO 1314,SITIO MONTE SIÃO,594797.0,8917044.0,ARIQUEMES,17,"BR 364, LINHA C 75",,35,0,,BOVINOCULTURA DE CORTE,,,,,,,0.278,,,0.0,1,B,-,555,RL SAF,2020.0,-,-,-,0.0,-,2020.0,0
1362,PLA 1671,PRO 1315,CHÁCARA FERREIRA,510264.0,8905310.0,ARIQUEMES,,"RO 257, HORTIFRUTIGRANJEIRO",14,48,0,,ABACAXI,,,,,,,,,,0.0,-,-,-,0,,2020.0,5,H,-,555.0,APP DIV,2020.0,0
1363,PLA 1672***,PRO 1316,S/N,624680.0,8686952.0,ROLIM DE MOURA,20,LINHA 176 SUL,16,38,0,ASSOCIAÇÃO,BOVINOCULTURA DE CORTE,,,,,,,,,,0.0,4,G,-,2000,RL SAF,2020.0,5,H,-,1000.0,APP SAF,2020.0,0
1364,PLA 1673*** 1672,PRO 1317<>,CHACARA PETERSEN,651248.0,8703204.0,ROLIM DE MOURA,6,RO 010 LESTE,17.5,5-B1,0,ASSOCIAÇÃO,AGRICULTURA,,,,,,,0.5,,,0.0,4,G,-,2000,RL SAF,2020.0,-,-,-,0.0,-,2020.0,0
1365,PLA 1674,PRO 1318,SITIO BOA ESPERANÇA,551890.0,8848678.0,JARU,61,623,1,106-C,0,,BOVINOCULTURA DE CORTE,,,,,,,,,,0.0,-,-,-,0,,2020.0,5,J,-,400.0,APP DIV,2020.0,0
1366,PLA 1675,PRO 1319,ESTANCIA FAMILIA FREITAS,639629.0,8703565.0,ROLIM DE MOURA,11,RO 010 LESTE,5,4,0,,BOVINOCULTURA DE CORTE,,,,,,,0.3,,,0.0,-,-,-,0,,2020.0,5,H,-,600.0,APP DIV,2020.0,0
1367,PLA 1676,PRO 1320,S/N,533467.0,8854055.0,JARU,SÃO SALVADOR,615,10,106,0,ASSOCIAÇÃO,BOVINOCULTURA DE LEITE,SUINOCULTURA,,,,,,,,,0.0,1,B,,100,RL SAF,2020.0,5,J,-,300.0,APP DIV,2020.0,0
1368,PLA 1677,PRO 1321,S/N,552890.0,8849573.0,JARU,61,BR 364,430,106-A1C,0,,BOVINOCULTURA DE CORTE,,,,,,,,,,0.0,-,-,-,0,,2020.0,5,J,-,1200.0,APP DIV,2020.0,0
1369,PLA 1678,PRO 1322,BOA ESPERANÇA,594479.0,8694236.0,NOVO HORIZONTE DO OESTE,8,144 SUL,9,75,0,,CAFEICULTURA,BOVINOCULTURA DE LEITE,30,2,0.0,1.0,,0.275,,,0.0,0,-,-,0,,2020.0,5,J,-,550.0,APP DIV,2020.0,0
1370,PLA 1679,PRO 1323,SÃO JOSÉ,593381.0,8697895.0,NOVO HORIZONTE DO OESTE,8,144 SUL,6,45,0,,BOVINOCULTURA DE CORTE,CAFEICULTURA,,,,,,0.1,,,0.0,0,-,-,0,,2020.0,5,J,-,200.0,APP DIV,2020.0,0
1371,PLA 1680,PRO 1324,NOSSA SENHORA APARECIDA,639476.0,8728326.0,CASTANHEIRAS,11,192 NORTE,25,57-B,0,STTR,BOVINOCULTURA DE CORTE,,,,,,,0.2,,,0.0,0,-,-,0,,2020.0,5,J,-,400.0,APP DIV,2020.0,0
1372,PLA 1681,PRO 1325,CHACARA NOVA ESPERANÇA,483578.0,8984925.0,ITAPUÃ DO OESTE,-,SANTA BARBARA,4,-,0,STTR,PSICULTURA,,,,,,,,,,0.0,3,E,B,1642,RL SAF,2020.0,-,-,-,0.0,-,2020.0,0
